Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2018-01-08,5000.0,5000.0,5000.0,5000.0,5001.157664407466,5000.0,5000.0,5000.0,0.0,-8.650873959422825,,99.84153529492643,,Sell,2018-01-08,2018-01-14
2018-01-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-01-15,2018-01-21
2018-01-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-01-22,2018-01-28
2018-01-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-01-29,2018-02-04
2018-02-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-02-05,2018-02-11
2018-02-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-02-12,2018-02-18
2018-02-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-02-19,2018-02-25
2018-02-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-02-26,2018-03-04
2018-03-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-03-05,2018-03-11
2018-03-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-03-12,2018-03-18
2018-03-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-03-19,2018-03-25
2018-03-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-03-26,2018-04-01
2018-04-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-04-02,2018-04-08
2018-04-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-04-09,2018-04-15
2018-04-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-04-16,2018-04-22
2018-04-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-04-23,2018-04-29
2018-04-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-04-30,2018-05-06
2018-05-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-05-07,2018-05-13
2018-05-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-05-14,2018-05-20
2018-05-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-05-21,2018-05-27
2018-05-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-05-28,2018-06-03
2018-06-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-06-04,2018-06-10
2018-06-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-06-11,2018-06-17
2018-06-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-06-18,2018-06-24
2018-06-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-06-25,2018-07-01
2018-07-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-07-02,2018-07-08
2018-07-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-07-09,2018-07-15
2018-07-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-07-16,2018-07-22
2018-07-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-07-23,2018-07-29
2018-07-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-07-30,2018-08-05
2018-08-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-08-06,2018-08-12
2018-08-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-08-13,2018-08-19
2018-08-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-08-20,2018-08-26
2018-08-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-08-27,2018-09-02
2018-09-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-09-03,2018-09-09
2018-09-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-09-10,2018-09-16
2018-09-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-09-17,2018-09-23
2018-09-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-09-24,2018-09-30
2018-10-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-10-01,2018-10-07
2018-10-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-10-08,2018-10-14
2018-10-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-10-15,2018-10-21
2018-10-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-10-22,2018-10-28
2018-10-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-10-29,2018-11-04
2018-11-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-11-05,2018-11-11
2018-11-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-11-12,2018-11-18
2018-11-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-11-19,2018-11-25
2018-11-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-11-26,2018-12-02
2018-12-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-12-03,2018-12-09
2018-12-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-12-10,2018-12-16
2018-12-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-12-17,2018-12-23
2018-12-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-12-24,2018-12-30
2018-12-31,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2018-12-31,2019-01-06
2019-01-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-01-07,2019-01-13
2019-01-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-01-14,2019-01-20
2019-01-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-01-21,2019-01-27
2019-01-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-01-28,2019-02-03
2019-02-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-02-04,2019-02-10
2019-02-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-02-11,2019-02-17
2019-02-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-02-18,2019-02-24
2019-02-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-02-25,2019-03-03
2019-03-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-03-04,2019-03-10
2019-03-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-03-11,2019-03-17
2019-03-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-03-18,2019-03-24
2019-03-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-03-25,2019-03-31
2019-04-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-04-01,2019-04-07
2019-04-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-04-08,2019-04-14
2019-04-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-04-15,2019-04-21
2019-04-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-04-22,2019-04-28
2019-04-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-04-29,2019-05-05
2019-05-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-05-06,2019-05-12
2019-05-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-05-13,2019-05-19
2019-05-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-05-20,2019-05-26
2019-05-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-05-27,2019-06-02
2019-06-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-06-03,2019-06-09
2019-06-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-06-10,2019-06-16
2019-06-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-06-17,2019-06-23
2019-06-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-06-24,2019-06-30
2019-07-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-07-01,2019-07-07
2019-07-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-07-08,2019-07-14
2019-07-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-07-15,2019-07-21
2019-07-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-07-22,2019-07-28
2019-07-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-07-29,2019-08-04
2019-08-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-08-05,2019-08-11
2019-08-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-08-12,2019-08-18
2019-08-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-08-19,2019-08-25
2019-08-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-08-26,2019-09-01
2019-09-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-09-02,2019-09-08
2019-09-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-09-09,2019-09-15
2019-09-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-09-16,2019-09-22
2019-09-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-09-23,2019-09-29
2019-09-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-09-30,2019-10-06
2019-10-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-10-07,2019-10-13
2019-10-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-10-14,2019-10-20
2019-10-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-10-21,2019-10-27
2019-10-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-10-28,2019-11-03
2019-11-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-11-04,2019-11-10
2019-11-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-11-11,2019-11-17
2019-11-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-11-18,2019-11-24
2019-11-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-11-25,2019-12-01
2019-12-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-12-02,2019-12-08
2019-12-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-12-09,2019-12-15
2019-12-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-12-16,2019-12-22
2019-12-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-12-23,2019-12-29
2019-12-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2019-12-30,2020-01-05
2020-01-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-01-06,2020-01-12
2020-01-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-01-13,2020-01-19
2020-01-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-01-20,2020-01-26
2020-01-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-01-27,2020-02-02
2020-02-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-02-03,2020-02-09
2020-02-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-02-10,2020-02-16
2020-02-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-02-17,2020-02-23
2020-02-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-02-24,2020-03-01
2020-03-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-03-02,2020-03-08
2020-03-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-03-09,2020-03-15
2020-03-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-03-16,2020-03-22
2020-03-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-03-23,2020-03-29
2020-03-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-03-30,2020-04-05
2020-04-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-04-06,2020-04-12
2020-04-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-04-13,2020-04-19
2020-04-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-04-20,2020-04-26
2020-04-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-04-27,2020-05-03
2020-05-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-05-04,2020-05-10
2020-05-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-05-11,2020-05-17
2020-05-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-05-18,2020-05-24
2020-05-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-05-25,2020-05-31
2020-06-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-06-01,2020-06-07
2020-06-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-06-08,2020-06-14
2020-06-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-06-15,2020-06-21
2020-06-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-06-22,2020-06-28
2020-06-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-06-29,2020-07-05
2020-07-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-07-06,2020-07-12
2020-07-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-07-13,2020-07-19
2020-07-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-07-20,2020-07-26
2020-07-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-07-27,2020-08-02
2020-08-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-08-03,2020-08-09
2020-08-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-08-10,2020-08-16
2020-08-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-08-17,2020-08-23
2020-08-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-08-24,2020-08-30
2020-08-31,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-08-31,2020-09-06
2020-09-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-09-07,2020-09-13
2020-09-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-09-14,2020-09-20
2020-09-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-09-21,2020-09-27
2020-09-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-09-28,2020-10-04
2020-10-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-10-05,2020-10-11
2020-10-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-10-12,2020-10-18
2020-10-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-10-19,2020-10-25
2020-10-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-10-26,2020-11-01
2020-11-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-11-02,2020-11-08
2020-11-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-11-09,2020-11-15
2020-11-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-11-16,2020-11-22
2020-11-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-11-23,2020-11-29
2020-11-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-11-30,2020-12-06
2020-12-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-12-07,2020-12-13
2020-12-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-12-14,2020-12-20
2020-12-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-12-21,2020-12-27
2020-12-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2020-12-28,2021-01-03
2021-01-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-01-04,2021-01-10
2021-01-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-01-11,2021-01-17
2021-01-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-01-18,2021-01-24
2021-01-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-01-25,2021-01-31
2021-02-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-02-01,2021-02-07
2021-02-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-02-08,2021-02-14
2021-02-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-02-15,2021-02-21
2021-02-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-02-22,2021-02-28
2021-03-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-03-01,2021-03-07
2021-03-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-03-08,2021-03-14
2021-03-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-03-15,2021-03-21
2021-03-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-03-22,2021-03-28
2021-03-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-03-29,2021-04-04
2021-04-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-04-05,2021-04-11
2021-04-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-04-12,2021-04-18
2021-04-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-04-19,2021-04-25
2021-04-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-04-26,2021-05-02
2021-05-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-05-03,2021-05-09
2021-05-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-05-10,2021-05-16
2021-05-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-05-17,2021-05-23
2021-05-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-05-24,2021-05-30
2021-05-31,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-05-31,2021-06-06
2021-06-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-06-07,2021-06-13
2021-06-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-06-14,2021-06-20
2021-06-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-06-21,2021-06-27
2021-06-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-06-28,2021-07-04
2021-07-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-07-05,2021-07-11
2021-07-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-07-12,2021-07-18
2021-07-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-07-19,2021-07-25
2021-07-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-07-26,2021-08-01
2021-08-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-08-02,2021-08-08
2021-08-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-08-09,2021-08-15
2021-08-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-08-16,2021-08-22
2021-08-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-08-23,2021-08-29
2021-08-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-08-30,2021-09-05
2021-09-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-09-06,2021-09-12
2021-09-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-09-13,2021-09-19
2021-09-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-09-20,2021-09-26
2021-09-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-09-27,2021-10-03
2021-10-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-10-04,2021-10-10
2021-10-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-10-11,2021-10-17
2021-10-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-10-18,2021-10-24
2021-10-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-10-25,2021-10-31
2021-11-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-11-01,2021-11-07
2021-11-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-11-08,2021-11-14
2021-11-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-11-15,2021-11-21
2021-11-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-11-22,2021-11-28
2021-11-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-11-29,2021-12-05
2021-12-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-12-06,2021-12-12
2021-12-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-12-13,2021-12-19
2021-12-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-12-20,2021-12-26
2021-12-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2021-12-27,2022-01-02
2022-01-03,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-01-03,2022-01-09
2022-01-10,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-01-10,2022-01-16
2022-01-17,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-01-17,2022-01-23
2022-01-24,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-01-24,2022-01-30
2022-01-31,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-01-31,2022-02-06
2022-02-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-02-07,2022-02-13
2022-02-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-02-14,2022-02-20
2022-02-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-02-21,2022-02-27
2022-02-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-02-28,2022-03-06
2022-03-07,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-03-07,2022-03-13
2022-03-14,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-03-14,2022-03-20
2022-03-21,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-03-21,2022-03-27
2022-03-28,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-03-28,2022-04-03
2022-04-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-04-04,2022-04-10
2022-04-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-04-11,2022-04-17
2022-04-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-04-18,2022-04-24
2022-04-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-04-25,2022-05-01
2022-05-02,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-05-02,2022-05-08
2022-05-09,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-05-09,2022-05-15
2022-05-16,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-05-16,2022-05-22
2022-05-23,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-05-23,2022-05-29
2022-05-30,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-05-30,2022-06-05
2022-06-06,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-06-06,2022-06-12
2022-06-13,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-06-13,2022-06-19
2022-06-20,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-06-20,2022-06-26
2022-06-27,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-06-27,2022-07-03
2022-07-04,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-07-04,2022-07-10
2022-07-11,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-07-11,2022-07-17
2022-07-18,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-07-18,2022-07-24
2022-07-25,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-07-25,2022-07-31
2022-08-01,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-08-01,2022-08-07
2022-08-08,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-08-08,2022-08-14
2022-08-15,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-08-15,2022-08-21
2022-08-22,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-08-22,2022-08-28
2022-08-29,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-08-29,2022-09-04
2022-09-05,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-09-05,2022-09-11
2022-09-12,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-09-12,2022-09-18
2022-09-19,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-09-19,2022-09-25
2022-09-26,,,,,5001.157664407466,,,,0.0,-8.650873959422825,,,,Sell,2022-09-26,2022-10-02
