Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,6925.0,6925.0,6925.0,,6925.0,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,6925.0,6925.0,6925.0,,6925.0,,,,100.0,,,0.0,,Sell,2015-02-09,2015-02-15
2015-02-16,6925.0,6925.0,6925.0,,6925.0,,,,100.0,,,0.0,,Sell,2015-02-16,2015-02-22
2015-02-23,6925.0,6925.0,6925.0,,6925.0,,,,100.0,,,0.0,,Sell,2015-02-23,2015-03-01
2015-03-02,6925.0,6925.0,6925.0,,6925.0,,,,100.0,,,0.0,,Sell,2015-03-02,2015-03-08
2015-03-09,6925.0,6925.0,6925.0,,6925.0,,,,100.0,,,0.0,,Sell,2015-03-09,2015-03-15
2015-03-16,6925.0,6925.0,6925.0,,6925.0,,,,100.0,,,0.0,,Sell,2015-03-16,2015-03-22
2015-03-23,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,,,0.0,,Sell,2015-03-23,2015-03-29
2015-03-30,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,,,0.0,,Sell,2015-03-30,2015-04-05
2015-04-06,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,,,0.0,,Sell,2015-04-06,2015-04-12
2015-04-13,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,,,0.0,,Sell,2015-04-13,2015-04-19
2015-04-20,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,,,0.0,,Sell,2015-04-20,2015-04-26
2015-04-27,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,,,0.0,,Sell,2015-04-27,2015-05-03
2015-05-04,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-05-04,2015-05-10
2015-05-11,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-05-11,2015-05-17
2015-05-18,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-05-18,2015-05-24
2015-05-25,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-05-25,2015-05-31
2015-06-01,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-06-01,2015-06-07
2015-06-08,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-06-08,2015-06-14
2015-06-15,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-06-15,2015-06-21
2015-06-22,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-06-22,2015-06-28
2015-06-29,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-06-29,2015-07-05
2015-07-06,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-07-06,2015-07-12
2015-07-13,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-07-13,2015-07-19
2015-07-20,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-07-20,2015-07-26
2015-07-27,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,0.0,,Sell,2015-07-27,2015-08-02
2015-08-03,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-08-03,2015-08-09
2015-08-10,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-08-10,2015-08-16
2015-08-17,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-08-17,2015-08-23
2015-08-24,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-08-24,2015-08-30
2015-08-31,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-08-31,2015-09-06
2015-09-07,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-09-07,2015-09-13
2015-09-14,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-09-14,2015-09-20
2015-09-21,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-09-21,2015-09-27
2015-09-28,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-09-28,2015-10-04
2015-10-05,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-10-05,2015-10-11
2015-10-12,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-10-12,2015-10-18
2015-10-19,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-10-19,2015-10-25
2015-10-26,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-10-26,2015-11-01
2015-11-02,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-11-02,2015-11-08
2015-11-09,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-11-09,2015-11-15
2015-11-16,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-11-16,2015-11-22
2015-11-23,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-11-23,2015-11-29
2015-11-30,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-11-30,2015-12-06
2015-12-07,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-12-07,2015-12-13
2015-12-14,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-12-14,2015-12-20
2015-12-21,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-12-21,2015-12-27
2015-12-28,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2015-12-28,2016-01-03
2016-01-04,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,100.0,0.0,,0.0,,Sell,2016-01-04,2016-01-10
2016-01-11,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-01-11,2016-01-17
2016-01-18,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-01-18,2016-01-24
2016-01-25,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-01-25,2016-01-31
2016-02-01,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-02-01,2016-02-07
2016-02-08,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-02-08,2016-02-14
2016-02-15,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-02-15,2016-02-21
2016-02-22,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-02-22,2016-02-28
2016-02-29,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-02-29,2016-03-06
2016-03-07,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-03-07,2016-03-13
2016-03-14,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-03-14,2016-03-20
2016-03-21,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-03-21,2016-03-27
2016-03-28,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-03-28,2016-04-03
2016-04-04,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-04-04,2016-04-10
2016-04-11,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-04-11,2016-04-17
2016-04-18,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-04-18,2016-04-24
2016-04-25,,,,,6925.0,,,,100.0,0.0,,,,Sell,2016-04-25,2016-05-01
2016-05-02,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-05-02,2016-05-08
2016-05-09,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-05-09,2016-05-15
2016-05-16,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-05-16,2016-05-22
2016-05-23,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-05-23,2016-05-29
2016-05-30,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-05-30,2016-06-05
2016-06-06,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-06-06,2016-06-12
2016-06-13,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-06-13,2016-06-19
2016-06-20,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-06-20,2016-06-26
2016-06-27,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-06-27,2016-07-03
2016-07-04,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-07-04,2016-07-10
2016-07-11,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-07-11,2016-07-17
2016-07-18,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-07-18,2016-07-24
2016-07-25,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-07-25,2016-07-31
2016-08-01,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-08-01,2016-08-07
2016-08-08,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-08-08,2016-08-14
2016-08-15,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-08-15,2016-08-21
2016-08-22,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-08-22,2016-08-28
2016-08-29,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-08-29,2016-09-04
2016-09-05,6925.0,6925.0,6925.0,,6925.0,,,,100.0,0.0,,,,Sell,2016-09-05,2016-09-11
2016-09-12,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-09-12,2016-09-18
2016-09-19,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-09-19,2016-09-25
2016-09-26,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-09-26,2016-10-02
2016-10-03,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-10-03,2016-10-09
2016-10-10,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-10-10,2016-10-16
2016-10-17,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-10-17,2016-10-23
2016-10-24,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-10-24,2016-10-30
2016-10-31,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-10-31,2016-11-06
2016-11-07,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-11-07,2016-11-13
2016-11-14,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-11-14,2016-11-20
2016-11-21,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-11-21,2016-11-27
2016-11-28,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-11-28,2016-12-04
2016-12-05,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-12-05,2016-12-11
2016-12-12,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-12-12,2016-12-18
2016-12-19,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-12-19,2016-12-25
2016-12-26,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2016-12-26,2017-01-01
2017-01-02,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,6925.0,,100.0,0.0,,,,Sell,2017-01-02,2017-01-08
2017-01-09,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-01-09,2017-01-15
2017-01-16,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-01-16,2017-01-22
2017-01-23,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-01-23,2017-01-29
2017-01-30,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-01-30,2017-02-05
2017-02-06,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-02-06,2017-02-12
2017-02-13,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-02-13,2017-02-19
2017-02-20,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-02-20,2017-02-26
2017-02-27,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-02-27,2017-03-05
2017-03-06,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-03-06,2017-03-12
2017-03-13,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-03-13,2017-03-19
2017-03-20,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-03-20,2017-03-26
2017-03-27,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-03-27,2017-04-02
2017-04-03,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-04-03,2017-04-09
2017-04-10,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-04-10,2017-04-16
2017-04-17,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-04-17,2017-04-23
2017-04-24,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-04-24,2017-04-30
2017-05-01,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-05-01,2017-05-07
2017-05-08,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-05-08,2017-05-14
2017-05-15,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-05-15,2017-05-21
2017-05-22,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-05-22,2017-05-28
2017-05-29,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-05-29,2017-06-04
2017-06-05,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-06-05,2017-06-11
2017-06-12,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-06-12,2017-06-18
2017-06-19,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-06-19,2017-06-25
2017-06-26,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-06-26,2017-07-02
2017-07-03,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-07-03,2017-07-09
2017-07-10,,,,,6925.0,,,,100.0,0.0,,,,Sell,2017-07-10,2017-07-16
